id,x,z,v,alpha,t_period,l1_r,l2_r,l3_r,l4_r,l5_r,l6_r,l1_im,l2_im,l3_im,l4_im,l5_im,l6_im,ax,ay,az,dist_primary,dist_secondary,dist_curve,cj,stable,stability_order
14,379822.7130827692,1447.313332965841,-2.595968152663215,-1.6671806991955638,8.699673991568877,-5.276336444650177,2.376103435859871,-0.1895264168958465,0.420852319634718,1.0000062166287884,1,0.0,0.0,0.0,0.0,0.0,0,21120.33916806098,30339.456418906226,102265.28373813526,377102.5319185531,1450.51058804806,0.0005332986472424199,2.9682507233358946,False,0
15,379824.15661088045,1462.2437122842862,-2.582480546110476,-1.6674954827711783,8.680730428999166,-5.308545801823928,2.377190222658145,-0.1883757009324339,0.4206637171028959,1.000001288305449,1,0.0,0.0,0.0,0.0,0.0,0,21101.159318359336,30391.877924979715,101963.98753993485,377037.98938316683,1465.5039183169065,0.0005723204994797228,2.968936257564716,False,0
16,379825.60483875824,1477.1736364640592,-2.569198634954715,-1.6678087083822586,8.662284898701733,-5.337763772547223,2.3773919278030053,-0.1873440968350189,0.4206304092164654,0.9999981274442644,1,0.0,0.0,0.0,0.0,0.0,0,21084.100730202626,30445.809373863372,101671.27295500682,376973.9426436091,1480.4972443206022,0.0006113423517169625,2.969602133125312,False,0
17,379827.0577429995,1492.1031062893753,-2.5561172119797018,-1.6681198598542977,8.644318818191687,-5.364242569313433,2.3768247841091794,-0.1864187891681144,0.4207336442074033,0.9999942425964012,1,0.0,0.0,0.0,0.0,0.0,0,21069.051760251285,30501.152436600067,101386.7668238006,376910.37935337867,1495.4905654179358,0.0006503642039541584,2.9702492115277463,False,0
18,379828.51529249694,1507.032123318745,-2.5432312549469906,-1.6684299478075029,8.62681473505576,-5.388262272576501,2.3755322992708456,-0.1855896294213345,0.420952762436494,1.0000075180359995,1,0.0,0.0,0.0,0.0,0.0,0,21055.90899005643,30557.81171390775,101110.12058164828,376847.2875081632,1510.4838812300793,0.0006893860561914653,2.9708782965794,False,0
19,379829.9774712326,1521.9606876617995,-2.530535914533964,-1.6687378271492126,8.609755633970739,-5.409943217751655,2.373693078604882,-0.1848454307492294,0.421281170031528,1.0000045182388693,1,0.0,0.0,0.0,0.0,0.0,0,21044.573545438645,30615.69115580628,100840.99975620897,376784.6560715246,1525.4771909566846,0.00072840790842869,2.971490159157386,False,0
20,379831.44424609543,1536.8888011227205,-2.518026511742069,-1.6690446449436718,8.593125781429933,-5.429522419786949,2.37132792827868,-0.1841786505306535,0.4217024988300135,1.0000029747824937,1,0.0,0.0,0.0,0.0,0.0,0,21034.954975900182,30674.69907141278,100579.09512297086,376722.4740052142,1540.4704943399056,0.0007674297606659804,2.9720855110254423,False,0
21,379832.91560109996,1551.8164638483486,-2.5056985249848407,-1.6694491782546843,8.576909743881147,-5.447079082694909,2.36860013980511,-0.1835803697671202,0.4222142136227423,0.999966564859887,1,0.0,0.0,0.0,0.0,0.0,0,21026.966252234415,30734.742850872262,100324.10834718855,376660.7312039242,1555.4637906361725,0.0008064516129031818,2.9726650386502964,False,0
22,379835.3779103768,1576.694908997236,-2.4855432411337417,-1.6699503282561483,8.550765092349833,-5.472612687188548,2.3630137868271257,-0.1827239711027695,0.4232121174878901,0.9999664114998812,1,0.0,0.0,0.0,0.0,0.0,0,21017.06391589821,30836.13802061975,99913.7735935423,376558.774395822,1580.4526027908246,0.0008714880332986657,2.9735974293253564,False,0
23,379837.85268725397,1601.5721170280292,-2.465860503167181,-1.6704456841152568,8.525668710086228,-5.493832729518936,2.356523577169422,-0.1820182796673339,0.4243777156078877,0.9999659277423572,1,0.0,0.0,0.0,0.0,0.0,0,21011.130521567073,30941.44293915739,99520.70903057152,376457.96522106347,1605.4413941922305,0.000936524453694032,2.974490333269016,False,0
24,379840.339786811,1626.4480961201825,-2.4466320389547724,-1.670935060661126,8.501562965417923,-5.511284609748341,2.3493042045806707,-0.181442054681181,0.4256814066179926,0.9999660804461992,1,0.0,0.0,0.0,0.0,0.0,0,21008.857589064864,31047.475767052838,99143.82563701061,376358.26242481323,1630.4301639761206,0.0010015608740894396,2.975346248405999,False,0
